timestamp,frame,left_palpebral_height,left_pupil_to_lower,right_palpebral_height,right_pupil_to_lower
-0.03333333333333333,0,98.04590761474952,49.16299421312742,94.33981132056604,51.62363799656123
0.016666666666666666,1,100.0199980003999,50.15974481593781,94.26027795418386,52.20153254455275
0.08333333333333334,3,101.1236866416568,50.08991914547278,95.63472172804185,50.0
0.1,4,99.02019995940222,49.36598018878993,94.33981132056604,51.24451190127583
0.11666666666666667,5,102.00490184299969,50.24937810560445,93.34345183246653,49.33558553417604
0.18333333333333335,7,104.04326023342406,52.15361924162119,99.32270636667126,52.20153254455275
1.1666666666666667,46,105.00476179678711,52.61178575186362,105.30432089900205,57.245087125446844
1.2833333333333334,51,106.16967551989597,52.23983154643591,105.47511554864494,54.817880294662984
1.3666666666666667,54,110.04090148667449,54.230987451824994,113.53413583587978,60.166435825965294
1.4166666666666667,55,105.04284840006957,52.46903848937962,103.39245620450265,55.362442142665635
1.4333333333333333,56,104.00480758118829,52.46903848937962,103.4842983258813,55.08175741568164
1.4500000000000002,57,105.01904589168576,52.3450093132096,103.39245620450265,54.405882034941776
1.4833333333333334,59,115.00434774390054,57.21887800367987,111.44954015158609,59.20304046246274
1.7650000000000001,72,106.1178590059185,52.08646657242167,105.47511554864494,56.32051136131489
1.9983333333333335,80,106.01886624558857,53.33854141237835,105.57461816175325,57.0087712549569
2.015,81,107.0420478129973,53.150729063673246,106.47065323364932,56.32051136131489
2.081666666666667,83,106.01886624558857,53.23532661682466,103.31021246711285,55.97320787662612
2.0983333333333336,84,106.04244433244644,53.23532661682466,103.4842983258813,55.08175741568164
2.115,85,108.07404868885037,53.33854141237835,105.47511554864494,55.78530272392541
2.131666666666667,86,107.16809226630845,53.150729063673246,106.6770828247567,55.54277630799526
2.1816666666666666,87,113.07077429645558,56.22277118748239,112.44554237496477,58.69412236331676
2.1983333333333337,88,108.07404868885037,53.33854141237835,107.46627377926528,56.61271941887264
2.2150000000000003,89,105.01904589168576,53.46026561849464,102.59142264341595,54.405882034941776
2.265,90,113.01769772916099,56.43580423808985,110.54863183232979,58.69412236331676
2.2816666666666667,91,105.07616285342742,53.08483775994799,103.58571330062848,55.362442142665635
2.2983333333333333,92,108.04165863221463,54.3323108288245,106.56922632730333,56.04462507680822
2.3483333333333336,93,108.04165863221463,54.45181356024793,107.56393447619885,57.0087712549569
2.365,94,114.10959644131601,57.0350769263968,111.5437134042076,57.723478758647246
2.381666666666667,95,114.0175425099138,57.14017850864661,108.77959367454909,57.723478758647246
2.4316666666666666,96,112.04017136723775,55.326304774492215,110.54863183232979,58.240879114244144
2.4483333333333337,97,108.04165863221463,53.08483775994799,107.37783756436893,57.0087712549569
2.4650000000000003,98,106.04244433244644,53.23532661682466,105.47511554864494,56.32051136131489
2.481666666666667,99,107.01868995647442,53.46026561849464,104.47966309287182,55.08175741568164
2.4983333333333335,100,111.07204868912791,55.08175741568164,111.5437134042076,59.481089431852205
2.515,101,110.01818031580054,55.226805085936306,106.38138934982942,56.61271941887264
2.5316666666666667,102,113.01769772916099,57.42821606144492,110.54863183232979,59.77457653551382
2.5483333333333333,103,104.04326023342406,52.3450093132096,104.38869670610895,57.245087125446844
2.565,104,108.07404868885037,54.147945482723536,105.47511554864494,56.04462507680822
2.581666666666667,105,108.01851693112621,53.600373133029585,107.16809226630845,59.464274989274024
2.5983333333333336,106,112.01785571952357,56.43580423808985,108.55873986004075,58.52349955359813
2.615,107,116.03878661895772,58.215118311311535,114.6298390472568,60.728905802755904
2.631666666666667,108,111.01801655587259,55.226805085936306,109.29318368498559,58.82176467941097
2.7150000000000003,111,110.01818031580054,54.589376255824725,108.29589096544707,58.82176467941097
2.865,116,108.00462953040486,54.589376255824725,105.17128885774862,58.18934610390462
2.9483333333333337,119,111.07204868912791,55.326304774492215,109.45775440780794,58.52349955359813
2.9650000000000003,120,115.03912377969506,57.3149195236284,112.44554237496477,59.20304046246274
3.0316666666666667,122,107.01868995647442,53.46026561849464,105.23307464861035,57.584720195551874
3.0650000000000004,124,112.0714058089752,56.43580423808985,107.22872749408155,58.52349955359813
3.115,125,106.07544484940895,52.23983154643591,101.1236866416568,55.02726596879042
5.430000000000001,218,114.0175425099138,57.42821606144492,111.36426715962351,58.240879114244144
6.3133333333333335,255,111.00450441310929,56.089214649520635,107.22872749408155,57.28001396647874
6.680000000000001,273,106.04244433244644,52.46903848937962,105.17128885774862,56.61271941887264
6.763333333333334,276,113.01769772916099,56.71860364994893,109.37092849564732,58.240879114244144
8.43,342,118.10588469674151,58.137767414994535,116.43023662262307,60.63827174318213
8.995000000000001,366,109.01834707974616,54.74486277268398,105.30432089900205,56.32051136131489
9.011666666666667,367,111.04053313993049,54.589376255824725,110.45361017187261,57.97413216254298
9.078333333333333,369,111.00450441310929,55.90169943749474,108.37435120913067,57.97413216254298
9.445,383,119.0,60.207972893961475,115.27792503337315,60.63827174318213
9.461666666666668,384,114.0175425099138,58.05170109479997,112.28535078094559,58.463663928973865
9.728333333333333,396,114.03946685248927,56.88585061331157,111.44954015158609,57.271284253105414
9.761666666666667,398,110.01818031580054,55.90169943749474,106.30145812734649,55.31726674375732
9.995000000000001,408,115.0173899895142,58.249463516842795,111.36426715962351,58.05170109479997
10.695,436,80.02499609497022,39.81205847478876,75.0066663703967,41.10960958218893
11.895000000000001,486,106.04244433244644,51.78802950489621,100.17983829094555,52.630789467763066
12.126666666666667,494,105.04284840006957,52.3450093132096,104.17293314484334,56.32051136131489
12.16,496,106.16967551989597,53.46026561849464,104.30723848324239,54.57105459856901
12.21,497,107.07474025184464,53.75872022286245,103.12128781197411,55.362442142665635
12.226666666666667,498,106.07544484940895,52.952809179494906,105.30432089900205,55.54277630799526
12.243333333333334,499,109.29318368498559,53.46026561849464,107.56393447619885,55.90169943749474
12.31,501,105.07616285342742,51.78802950489621,101.31633629380802,53.600373133029585
12.376666666666667,503,107.16809226630845,52.773099207835045,102.39628899525607,53.36665625650534
12.393333333333334,504,108.07404868885037,54.12947441089743,104.47966309287182,54.3415126767741
12.41,505,108.07404868885037,54.12947441089743,103.31021246711285,55.08175741568164
12.476666666666668,507,108.00462953040486,54.12947441089743,105.38500842150178,56.04462507680822
12.493333333333334,508,106.00471687618433,54.12947441089743,106.16967551989597,57.56735185849702
12.543333333333335,509,111.00450441310929,55.90169943749474,108.16653826391968,58.240879114244144
12.56,510,113.01769772916099,57.0701322935211,110.22250223978767,58.9406481131655
12.593333333333334,512,109.04127658827184,55.10898293381942,108.2266141020775,57.0087712549569
12.693333333333333,516,112.01785571952357,56.293871780150276,110.3675676999362,57.48912940721924
12.726666666666668,518,113.0,56.515484603779164,112.36102527122117,59.665735560705194
