timestamp,frame,left_palpebral_height_px,left_pupil_to_lower_px,right_palpebral_height_px,right_pupil_to_lower_px,left_palpebral_height_mm,left_pupil_to_lower_mm,right_palpebral_height_mm,right_pupil_to_lower_mm,pupil_diameter_px,calibration_factor
-0.03333333333333333,0,98.04590761474952,49.16299421312742,94.33981132056604,51.62363799656123,4.028073390206637,2.0197900513186795,3.875813818876011,2.1208820192340854,284.7855557650905,0.04108354431307926
0.016666666666666666,1,100.0199980003999,50.15974481593781,94.26027795418386,52.20153254455275,4.1091760200435274,2.0607400988783287,3.8725463062938803,2.1446239755047816,285.1366426693197,0.04108354431307926
0.08333333333333334,3,101.1236866416568,50.08991914547278,95.63472172804185,50.0,4.1545194612444485,2.057871412851588,3.9290133279830113,2.054177215653963,282.48133586358995,0.04108354431307926
0.1,4,99.02019995940222,49.36598018878993,94.33981132056604,51.24451190127583,4.06810077292207,2.028129434644744,3.875813818876011,2.1053061754981828,286.9675668458766,0.04108354431307926
0.11666666666666667,5,102.00490184299969,50.24937810560445,93.34345183246653,49.33558553417604,4.190722905018178,2.064422552106275,3.8348798396949175,2.026880714505033,284.532497075915,0.04108354431307926
0.18333333333333335,7,104.04326023342406,52.15361924162119,99.32270636667126,52.20153254455275,4.274465892277115,2.142655527200607,4.080528808310098,2.1446239755047816,287.30586489145287,0.04108354431307926
1.1666666666666667,46,105.00476179678711,52.61178575186362,105.30432089900205,57.245087125446844,4.313967784362635,2.1614786313269208,4.326274734012869,2.3518310736243784,303.8448012453482,0.04108354431307926
1.2833333333333334,51,106.16967551989597,52.23983154643591,105.47511554864494,54.817880294662984,4.361826568926892,2.1461974342457952,4.333291583569909,2.2521128142348608,297.18191827269527,0.04108354431307926
1.3666666666666667,54,110.04090148667449,54.230987451824994,113.53413583587978,60.166435825965294,4.52087025247898,2.2280011761190974,4.664384700660527,2.4718504324160846,300.37951158956105,0.04108354431307926
1.4166666666666667,55,105.04284840006957,52.46903848937962,103.39245620450265,55.362442142665635,4.315532517016325,2.155614067843089,4.247728556115791,2.27448534504849,296.9833702940402,0.04108354431307926
1.4333333333333333,56,104.00480758118829,52.46903848937962,103.4842983258813,55.08175741568164,4.272886121035031,2.155614067843089,4.251501755979258,2.2629538216294387,300.2415367718288,0.04108354431307926
1.4500000000000002,57,105.01904589168576,52.3450093132096,103.39245620450265,54.405882034941776,4.314554625608376,2.1505185096877932,4.247728556115791,2.235186465474693,297.15154754774517,0.04108354431307926
1.4833333333333334,59,115.00434774390054,57.21887800367987,111.44954015158609,59.20304046246274,4.724786216733314,2.350754310008858,4.578742121489993,2.4322707363086122,301.11622445144724,0.04108354431307926
1.7650000000000001,72,106.1178590059185,52.08646657242167,105.47511554864494,56.32051136131489,4.359697762878749,2.1398966575398073,4.333291583569909,2.313846224247864,291.4579065922997,0.04108354431307926
1.9983333333333335,80,106.01886624558857,53.33854141237835,105.57461816175325,57.0087712549569,4.355630789423061,2.1913363297104587,4.3373795035848115,2.3421223800872206,298.84977083575876,0.04108354431307926
2.015,81,107.0420478129973,53.150729063673246,106.47065323364932,56.32051136131489,4.397666714688023,2.1836203327598893,4.374191800167127,2.313846224247864,301.8135802127438,0.04108354431307926
2.081666666666667,83,106.01886624558857,53.23532661682466,103.31021246711285,55.97320787662612,4.355630789423061,2.1870959000835635,4.2443496918862635,2.299577766144566,294.6858900198433,0.04108354431307926
2.0983333333333336,84,106.04244433244644,53.23532661682466,103.4842983258813,55.08175741568164,4.356599460799304,2.1870959000835635,4.251501755979258,2.2629538216294387,298.91137595009747,0.04108354431307926
2.115,85,108.07404868885037,53.33854141237835,105.47511554864494,55.78530272392541,4.440064968402269,2.1913363297104587,4.333291583569909,2.291857956476931,298.5863864101814,0.04108354431307926
2.131666666666667,86,107.16809226630845,53.150729063673246,106.6770828247567,55.54277630799526,4.402845067571049,2.1836203327598893,4.382672659420917,2.281894111720972,306.6690202307656,0.04108354431307926
2.1816666666666666,87,113.07077429645558,56.22277118748239,112.44554237496477,58.69412236331676,4.6453481663226155,2.3098307114850485,4.619661422970097,2.41136257703062,302.6479535025163,0.04108354431307926
2.1983333333333337,88,108.07404868885037,53.33854141237835,107.46627377926528,56.61271941887264,4.440064968402269,2.1913363297104587,4.415095420971952,2.325851166929177,308.4285308554604,0.04108354431307926
2.2150000000000003,89,105.01904589168576,53.46026561849464,102.59142264341595,54.405882034941776,4.314554625608376,2.196337191526412,4.214819258312622,2.235186465474693,305.2561156913048,0.04108354431307926
2.265,90,113.01769772916099,56.43580423808985,110.54863183232979,58.69412236331676,4.643167592818182,2.3185828642598305,4.541729614633805,2.41136257703062,303.50892327110455,0.04108354431307926
2.2816666666666667,91,105.07616285342742,53.08483775994799,103.58571330062848,55.362442142665635,4.3169011928371175,2.180913284463446,4.2556682425882935,2.27448534504849,297.50745577235347,0.04108354431307926
2.2983333333333333,92,108.04165863221463,54.3323108288245,106.56922632730333,56.04462507680822,4.438734270075172,2.232163899568007,4.378241532228339,2.3025118378529634,298.21079572440885,0.04108354431307926
2.3483333333333336,93,108.04165863221463,54.45181356024793,107.56393447619885,57.0087712549569,4.438734270075172,2.237073495329976,4.419107668542069,2.3421223800872206,303.44605883368513,0.04108354431307926
2.365,94,114.10959644131601,57.0350769263968,111.5437134042076,57.723478758647246,4.688026661944398,2.343203110305507,4.582611092487175,2.3714850974859734,302.7464064097454,0.04108354431307926
2.381666666666667,95,114.0175425099138,57.14017850864661,108.77959367454909,57.723478758647246,4.684244760174441,2.3475210558172424,4.469051257087093,2.3714850974859734,304.8585917008474,0.04108354431307926
2.4316666666666666,96,112.04017136723775,55.326304774492215,110.54863183232979,58.240879114244144,4.603007345210906,2.2730006938817793,4.541729614633805,2.3927417379227416,304.97658711312545,0.04108354431307926
2.4483333333333337,97,108.04165863221463,53.08483775994799,107.37783756436893,57.0087712549569,4.438734270075172,2.180913284463446,4.411462147818377,2.3421223800872206,298.81862196021575,0.04108354431307926
2.4650000000000003,98,106.04244433244644,53.23532661682466,105.47511554864494,56.32051136131489,4.356599460799304,2.1870959000835635,4.333291583569909,2.313846224247864,299.4778921575147,0.04108354431307926
2.481666666666667,99,107.01868995647442,53.46026561849464,104.47966309287182,55.08175741568164,4.396707091154506,2.196337191526412,4.2923948684915905,2.2629538216294387,301.69332187773455,0.04108354431307926
2.4983333333333335,100,111.07204868912791,55.08175741568164,111.5437134042076,59.481089431852205,4.5632334342642835,2.2629538216294387,4.582611092487175,2.44369397346373,302.02194713578905,0.04108354431307926
2.515,101,110.01818031580054,55.226805085936306,106.38138934982942,56.61271941887264,4.519936786248535,2.268912894017855,4.370524523440655,2.325851166929177,302.62448132473276,0.04108354431307926
2.5316666666666667,102,113.01769772916099,57.42821606144492,110.54863183232979,59.77457653551382,4.643167592818182,2.3593546593814625,4.541729614633805,2.4557514638923297,302.4442207624767,0.04108354431307926
2.5483333333333333,103,104.04326023342406,52.3450093132096,104.38869670610895,57.245087125446844,4.274465892277115,2.1505185096877932,4.288657646910018,2.3518310736243784,298.85216036729105,0.04108354431307926
2.565,104,108.07404868885037,54.147945482723536,105.47511554864494,56.04462507680822,4.440064968402269,2.224589517701672,4.333291583569909,2.3025118378529634,303.3400751654889,0.04108354431307926
2.581666666666667,105,108.01851693112621,53.600373133029585,107.16809226630845,59.464274989274024,4.437783526973026,2.202093304808404,4.402845067571049,2.44300317656697,295.43976893423576,0.04108354431307926
2.5983333333333336,106,112.01785571952357,56.43580423808985,108.55873986004075,58.52349955359813,4.602090539309165,2.3185828642598305,4.459977799612028,2.4043527872667227,300.8230027857304,0.04108354431307926
2.615,107,116.03878661895772,58.215118311311535,114.6298390472568,60.728905802755904,4.7672846320958975,2.391683392833919,4.709400072099117,2.494958692632338,307.93471657718976,0.04108354431307926
2.631666666666667,108,111.01801655587259,55.226805085936306,109.29318368498559,58.82176467941097,4.561013602723358,2.268912894017855,4.490151355039616,2.4166065757801007,297.76206482716316,0.04108354431307926
2.7150000000000003,111,110.01818031580054,54.589376255824725,108.29589096544707,58.82176467941097,4.519936786248535,2.2427250584295315,4.449179035403344,2.4166065757801007,297.340905190195,0.04108354431307926
2.865,116,108.00462953040486,54.589376255824725,105.17128885774862,58.18934610390462,4.437212983330096,2.2427250584295315,4.3208093062509745,2.3906245792088714,294.2249768773213,0.04108354431307926
