timestamp,left_palpebral_height,left_pupil_to_lower,right_palpebral_height,right_pupil_to_lower
0.9920530319213867,41.72529209005013,19.849433241279208,43.86342439892262,23.430749027719962
1.1922109127044678,41.72529209005013,19.849433241279208,43.93176527297759,24.20743687382041
1.3590269088745117,42.42640687119285,19.849433241279208,45.27692569068709,24.839484696748443
1.5237698554992676,41.012193308819754,19.849433241279208,43.93176527297759,23.430749027719962
1.6938397884368896,41.012193308819754,19.849433241279208,42.5205832509386,23.600847442411894
1.860152006149292,38.41874542459709,16.97056274847714,40.45985664828782,20.615528128088304
2.024696111679077,37.013511046643494,16.97056274847714,38.41874542459709,20.0
2.192790985107422,36.124783736376884,16.97056274847714,37.53664875824692,21.400934559032695
2.360529899597168,34.20526275297414,15.556349186104045,35.4682957019364,20.0
2.5251948833465576,34.20526275297414,16.278820596099706,34.828149534535996,18.601075237738275
2.692002058029175,26.0,12.083045973594572,25.238858928247925,13.892443989449804
2.8615169525146484,25.942243542145693,11.661903789690601,27.80287754891569,15.811388300841896
3.0258591175079346,30.23243291566195,14.212670403551895,31.240998703626616,18.027756377319946
3.1921989917755127,31.400636936215164,14.866068747318506,31.827660925679098,17.029386365926403
3.3632709980010986,30.805843601498726,15.0,31.240998703626616,17.204650534085253
3.5259339809417725,30.0,13.45362404707371,29.732137494637012,16.401219466856727
3.692462921142578,30.805843601498726,14.212670403551895,31.240998703626616,17.204650534085253
3.8625059127807617,29.410882339705484,13.45362404707371,31.144823004794873,17.029386365926403
4.026928901672363,29.410882339705484,13.45362404707371,31.144823004794873,17.029386365926403
4.194373846054077,30.610455730027933,14.142135623730951,31.144823004794873,17.804493814764857
4.362318754196167,30.23243291566195,14.212670403551895,31.240998703626616,17.204650534085253
4.526936054229736,23.40939982143925,10.770329614269007,24.186773244895647,13.416407864998739
4.695613861083984,33.60059523282288,14.866068747318506,33.97057550292606,18.439088914585774
4.862896919250488,33.60059523282288,14.866068747318506,33.97057550292606,18.439088914585774
5.026373863220215,33.60059523282288,15.620499351813308,34.828149534535996,18.601075237738275
5.19452691078186,29.5296461204668,13.038404810405298,31.622776601683793,16.64331697709324
5.362278938293457,29.068883707497267,13.038404810405298,29.410882339705484,15.811388300841896
5.527626037597656,33.015148038438355,14.866068747318506,33.421549934136806,18.601075237738275
5.693949937820435,33.60059523282288,14.866068747318506,34.828149534535996,19.4164878389476
5.862425088882446,34.40930106817051,15.620499351813308,33.301651610693426,17.804493814764857
6.026539087295532,34.828149534535996,16.278820596099706,34.713109915419565,19.209372712298546
6.194597959518433,36.796738985948195,17.69180601295413,38.2099463490856,20.615528128088304
6.363257169723511,39.59797974644666,18.439088914585774,40.311288741492746,22.02271554554524
6.527911901473999,38.18376618407357,18.439088914585774,39.6232255123179,22.80350850198276
6.6934590339660645,38.897300677553446,18.439088914585774,40.311288741492746,22.80350850198276
6.863379001617432,38.897300677553446,18.439088914585774,39.59797974644666,21.2602916254693
7.026969909667969,38.897300677553446,17.804493814764857,40.311288741492746,22.80350850198276
7.1957409381866455,37.48332962798263,17.69180601295413,38.948684188300895,20.615528128088304
7.362303018569946,28.653097563788805,13.038404810405298,31.064449134018133,17.4928556845359
7.529056072235107,33.015148038438355,15.620499351813308,34.058772731852805,18.601075237738275
7.694092035293579,37.53664875824692,17.69180601295413,38.2099463490856,20.615528128088304
7.863223075866699,36.796738985948195,17.69180601295413,37.53664875824692,20.615528128088304
8.028855085372925,37.48332962798263,17.69180601295413,38.948684188300895,21.400934559032695
8.19481897354126,36.796738985948195,17.69180601295413,38.897300677553446,21.2602916254693
8.364654779434204,38.18376618407357,18.439088914585774,39.6232255123179,22.02271554554524
8.529454946517944,37.48332962798263,17.69180601295413,38.2099463490856,20.615528128088304
8.697731733322144,29.068883707497267,13.892443989449804,29.68164415931166,17.0
8.864053010940552,36.124783736376884,16.97056274847714,36.796738985948195,20.615528128088304
9.029200792312622,36.124783736376884,16.97056274847714,37.53664875824692,20.615528128088304
9.195884943008423,37.48332962798263,17.69180601295413,40.36087214122113,22.02271554554524
9.364296913146973,37.48332962798263,18.384776310850235,39.6232255123179,22.02271554554524
9.5289888381958,38.2099463490856,18.384776310850235,39.6232255123179,22.02271554554524
9.695067882537842,37.48332962798263,17.69180601295413,40.36087214122113,22.02271554554524
9.864472150802612,26.570660511172846,13.0,26.92582403567252,15.652475842498529
10.028394937515259,32.01562118716424,14.866068747318506,34.20526275297414,18.601075237738275
10.196931838989258,36.124783736376884,16.278820596099706,38.948684188300895,21.400934559032695
10.36514687538147,38.18376618407357,18.439088914585774,39.6232255123179,22.80350850198276
10.530094146728516,36.124783736376884,16.97056274847714,38.28837943815329,21.400934559032695
10.695637941360474,38.897300677553446,18.439088914585774,41.036569057366385,22.80350850198276
10.865453958511353,38.897300677553446,18.439088914585774,40.36087214122113,22.80350850198276
11.029382944107056,38.897300677553446,18.439088914585774,41.72529209005013,23.430749027719962
11.196738004684448,37.48332962798263,17.69180601295413,38.2099463490856,20.615528128088304
11.365418910980225,28.178005607210743,13.038404810405298,30.886890422961002,17.0
11.530107975006104,34.713109915419565,16.278820596099706,36.235341863986875,20.808652046684813
11.696377038955688,37.53664875824692,17.69180601295413,38.948684188300895,21.400934559032695
11.866015911102295,38.897300677553446,18.439088914585774,40.36087214122113,22.02271554554524
12.030308961868286,38.2099463490856,17.69180601295413,39.6232255123179,21.2602916254693
12.198638916015625,37.48332962798263,17.804493814764857,39.6232255123179,22.02271554554524
12.36556601524353,39.59797974644666,18.439088914585774,41.012193308819754,22.67156809750927
12.53072476387024,37.48332962798263,17.69180601295413,38.897300677553446,21.2602916254693
12.696473836898804,28.635642126552707,13.416407864998739,29.68164415931166,17.0
